Start Date,01/01/2008,,,
End Date,07/31/2018,,,
Initial Balance,"$10,000",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ticker,Name,,,
EWT,iShares MSCI Taiwan Capped ETF,,,
,,,,
Portfolio Performance,,,,
,,,,
Metric,Portfolio 1,,,
Start Balance,"$10,000",,,
End Balance,"$16,952",,,
End Balance (inflation adjusted),"$14,130",,,
CAGR,5.11%,,,
CAGR (inflation adjusted),3.32%,,,
Stdev,23.12%,,,
Best Year,73.75%,,,
Worst Year,-45.23%,,,
Max. Drawdown,-55.39%,,,
Sharpe Ratio,0.31,,,
Sortino Ratio,0.48,,,
US Stock Market Correlation,0.75,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Annual Returns,,,,
,,,,
Year,Inflation,Portfolio 1 Return,Portfolio 1 Balance,iShares MSCI Taiwan Capped ETF (EWT)
2008,0.09%,-45.23%,"$5,477",-45.23%
2009,2.72%,73.75%,"$9,517",73.75%
2010,1.50%,22.76%,"$11,683",22.76%
2011,2.96%,-21.87%,"$9,128",-21.87%
2012,1.74%,18.65%,"$10,830",18.65%
2013,1.50%,7.85%,"$11,680",7.85%
2014,0.76%,6.86%,"$12,481",6.86%
2015,0.73%,-12.87%,"$10,874",-12.87%
2016,2.07%,17.73%,"$12,802",17.73%
2017,2.11%,26.85%,"$16,239",26.85%
2018,2.22%,4.39%,"$16,952",4.39%
Annual returns for 2018 are based on partial year data,,,,
,,,,
Monthly Returns,,,,
,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,iShares MSCI Taiwan Capped ETF (EWT)
2008,1,-8.92%,"$9,108",-8.92%
2008,2,12.71%,"$10,266",12.71%
2008,3,2.72%,"$10,546",2.72%
2008,4,4.48%,"$11,018",4.48%
2008,5,-1.99%,"$10,798",-1.99%
2008,6,-12.94%,"$9,401",-12.94%
2008,7,-7.01%,"$8,743",-7.01%
2008,8,-0.84%,"$8,669",-0.84%
2008,9,-17.11%,"$7,186",-17.11%
2008,10,-18.43%,"$5,862",-18.43%
2008,11,-11.69%,"$5,176",-11.69%
2008,12,5.82%,"$5,477",5.82%
2009,1,-10.28%,"$4,915",-10.28%
2009,2,0.15%,"$4,922",0.15%
2009,3,18.33%,"$5,824",18.33%
2009,4,26.64%,"$7,375",26.64%
2009,5,10.27%,"$8,133",10.27%
2009,6,-10.47%,"$7,282",-10.47%
2009,7,12.29%,"$8,177",12.29%
2009,8,-4.32%,"$7,823",-4.32%
2009,9,13.65%,"$8,891",13.65%
2009,10,-5.76%,"$8,379",-5.76%
2009,11,5.34%,"$8,826",5.34%
2009,12,7.83%,"$9,517",7.83%
2010,1,-6.94%,"$8,857",-6.94%
2010,2,-2.49%,"$8,636",-2.49%
2010,3,6.63%,"$9,209",6.63%
2010,4,1.27%,"$9,326",1.27%
2010,5,-10.62%,"$8,336",-10.62%
2010,6,-1.41%,"$8,218",-1.41%
2010,7,10.80%,"$9,106",10.80%
2010,8,-2.18%,"$8,908",-2.18%
2010,9,11.61%,"$9,943",11.61%
2010,10,2.58%,"$10,199",2.58%
2010,11,1.37%,"$10,339",1.37%
2010,12,13.00%,"$11,683",13.00%
2011,1,-0.32%,"$11,646",-0.32%
2011,2,-5.33%,"$11,025",-5.33%
