Start Date,01/01/2008,,,
End Date,07/31/2018,,,
Initial Balance,"$10,000",,,
,,,,
,,,,
,,,,
,,,,
Portfolio 1,,,,
,,,,
Ticker,Name,,,
GXC,SPDR S&P China ETF,,,
,,,,
Portfolio Performance,,,,
,,,,
Metric,Portfolio 1,,,
Start Balance,"$10,000",,,
End Balance,"$14,071",,,
End Balance (inflation adjusted),"$11,729",,,
CAGR,3.28%,,,
CAGR (inflation adjusted),1.52%,,,
Stdev,25.52%,,,
Best Year,60.56%,,,
Worst Year,-48.77%,,,
Max. Drawdown,-56.33%,,,
Sharpe Ratio,0.24,,,
Sortino Ratio,0.35,,,
US Stock Market Correlation,0.72,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Annual Returns,,,,
,,,,
Year,Inflation,Portfolio 1 Return,Portfolio 1 Balance,SPDR S&P China ETF (GXC)
2008,0.09%,-48.77%,"$5,123",-48.77%
2009,2.72%,60.56%,"$8,226",60.56%
2010,1.50%,7.54%,"$8,847",7.54%
2011,2.96%,-16.77%,"$7,363",-16.77%
2012,1.74%,21.65%,"$8,958",21.65%
2013,1.50%,8.05%,"$9,679",8.05%
2014,0.76%,4.46%,"$10,111",4.46%
2015,0.73%,-5.22%,"$9,583",-5.22%
2016,2.07%,0.11%,"$9,593",0.11%
2017,2.11%,51.67%,"$14,549",51.67%
2018,2.22%,-3.29%,"$14,071",-3.29%
Annual returns for 2018 are based on partial year data,,,,
,,,,
Monthly Returns,,,,
,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,SPDR S&P China ETF (GXC)
2008,1,-17.42%,"$8,258",-17.42%
2008,2,2.44%,"$8,460",2.44%
2008,3,-9.22%,"$7,679",-9.22%
2008,4,17.97%,"$9,060",17.97%
2008,5,-4.77%,"$8,628",-4.77%
2008,6,-12.72%,"$7,530",-12.72%
2008,7,0.84%,"$7,594",0.84%
2008,8,-5.09%,"$7,208",-5.09%
2008,9,-19.67%,"$5,790",-19.67%
2008,10,-23.57%,"$4,425",-23.57%
2008,11,2.62%,"$4,541",2.62%
2008,12,12.83%,"$5,123",12.83%
2009,1,-11.95%,"$4,511",-11.95%
2009,2,-3.19%,"$4,367",-3.19%
2009,3,17.37%,"$5,126",17.37%
2009,4,12.06%,"$5,744",12.06%
2009,5,19.41%,"$6,859",19.41%
2009,6,1.17%,"$6,939",1.17%
2009,7,11.33%,"$7,725",11.33%
2009,8,-6.61%,"$7,214",-6.61%
2009,9,5.59%,"$7,618",5.59%
2009,10,2.31%,"$7,794",2.31%
2009,11,5.75%,"$8,241",5.75%
2009,12,-0.18%,"$8,226",-0.18%
2010,1,-8.71%,"$7,510",-8.71%
2010,2,4.54%,"$7,851",4.54%
2010,3,5.05%,"$8,247",5.05%
2010,4,-1.11%,"$8,155",-1.11%
2010,5,-5.45%,"$7,711",-5.45%
2010,6,0.07%,"$7,717",0.07%
2010,7,7.37%,"$8,285",7.37%
2010,8,-2.97%,"$8,039",-2.97%
2010,9,9.62%,"$8,812",9.62%
2010,10,4.84%,"$9,239",4.84%
2010,11,-3.42%,"$8,923",-3.42%
2010,12,-0.86%,"$8,847",-0.86%
2011,1,-0.10%,"$8,837",-0.10%
2011,2,-0.83%,"$8,764",-0.83%
2011,3,6.38%,"$9,324",6.38%
