Start Date,01/01/2008,,,,,,
End Date,07/31/2018,,,,,,
Initial Balance,"$10,000",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ticker,Name,Allocation,,,,,
IEI,iShares 3-7 Year Treasury Bond ETF,100.00%,,,,,
,,,,,,,
Portfolio Performance,,,,,,,
,,,,,,,
Metric,Portfolio 1,,,,,,
Start Balance,"$10,000",,,,,,
End Balance,"$13,535",,,,,,
End Balance (inflation adjusted),"$11,281",,,,,,
CAGR,2.90%,,,,,,
CAGR (inflation adjusted),1.15%,,,,,,
Stdev,3.59%,,,,,,
Best Year,12.79%,,,,,,
Worst Year,-1.84%,,,,,,
Max. Drawdown,-3.68%,,,,,,
Sharpe Ratio,0.72,,,,,,
Sortino Ratio,1.23,,,,,,
US Stock Market Correlation,-0.33,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Monthly Returns,,,,,,,
,,,,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,iShares 3-7 Year Treasury Bond ETF (IEI),,,
2008,1,2.93%,"$10,293",2.93%,,,
2008,2,1.55%,"$10,453",1.55%,,,
2008,3,0.78%,"$10,534",0.78%,,,
2008,4,-2.30%,"$10,292",-2.30%,,,
2008,5,-1.23%,"$10,166",-1.23%,,,
2008,6,0.74%,"$10,241",0.74%,,,
2008,7,0.72%,"$10,315",0.72%,,,
2008,8,0.98%,"$10,416",0.98%,,,
2008,9,1.00%,"$10,519",1.00%,,,
2008,10,1.47%,"$10,674",1.47%,,,
2008,11,3.85%,"$11,085",3.85%,,,
2008,12,1.76%,"$11,279",1.76%,,,
2009,1,-1.28%,"$11,135",-1.28%,,,
2009,2,-0.64%,"$11,064",-0.64%,,,
2009,3,1.76%,"$11,259",1.76%,,,
2009,4,-1.38%,"$11,103",-1.38%,,,
2009,5,-0.98%,"$10,995",-0.98%,,,
2009,6,-0.65%,"$10,923",-0.65%,,,
2009,7,0.53%,"$10,981",0.53%,,,
2009,8,0.86%,"$11,076",0.86%,,,
2009,9,0.73%,"$11,157",0.73%,,,
2009,10,0.14%,"$11,172",0.14%,,,
2009,11,1.81%,"$11,375",1.81%,,,
2009,12,-2.52%,"$11,088",-2.52%,,,
2010,1,1.71%,"$11,277",1.71%,,,
2010,2,0.40%,"$11,322",0.40%,,,
2010,3,-0.78%,"$11,234",-0.78%,,,
2010,4,0.93%,"$11,338",0.93%,,,
2010,5,1.52%,"$11,510",1.52%,,,
2010,6,1.86%,"$11,725",1.86%,,,
2010,7,1.09%,"$11,852",1.09%,,,
2010,8,1.45%,"$12,024",1.45%,,,
2010,9,0.47%,"$12,081",0.47%,,,
2010,10,0.58%,"$12,151",0.58%,,,
2010,11,-0.96%,"$12,035",-0.96%,,,
2010,12,-2.04%,"$11,789",-2.04%,,,
2011,1,0.60%,"$11,860",0.60%,,,
2011,2,-0.42%,"$11,809",-0.42%,,,
2011,3,-0.26%,"$11,778",-0.26%,,,
2011,4,1.59%,"$11,965",1.59%,,,
2011,5,1.62%,"$12,159",1.62%,,,
2011,6,-0.15%,"$12,141",-0.15%,,,
2011,7,2.03%,"$12,387",2.03%,,,
2011,8,1.83%,"$12,614",1.83%,,,
2011,9,0.30%,"$12,652",0.30%,,,
2011,10,-0.02%,"$12,649",-0.02%,,,
2011,11,0.23%,"$12,678",0.23%,,,
2011,12,0.71%,"$12,768",0.71%,,,
2012,1,0.63%,"$12,848",0.63%,,,
2012,2,-0.62%,"$12,768",-0.62%,,,
2012,3,-0.58%,"$12,694",-0.58%,,,
2012,4,1.19%,"$12,845",1.19%,,,
2012,5,0.84%,"$12,954",0.84%,,,
2012,6,-0.20%,"$12,928",-0.20%,,,
2012,7,0.70%,"$13,018",0.70%,,,
2012,8,0.12%,"$13,034",0.12%,,,
2012,9,-0.03%,"$13,031",-0.03%,,,
2012,10,-0.33%,"$12,988",-0.33%,,,
