Start Date,01/01/2008,,,,,,
End Date,07/31/2018,,,,,,
Initial Balance,"$10,000",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ticker,Name,,,,,,
VGK,Vanguard FTSE Europe ETF,,,,,,
,,,,,,,
Portfolio Performance,,,,,,,
,,,,,,,
Metric,Portfolio 1,,,,,,
Start Balance,"$10,000",,,,,,
End Balance,"$11,918",,,,,,
End Balance (inflation adjusted),"$9,934",,,,,,
CAGR,1.67%,,,,,,
CAGR (inflation adjusted),-0.06%,,,,,,
Stdev,20.49%,,,,,,
Best Year,31.33%,,,,,,
Worst Year,-44.71%,,,,,,
Max. Drawdown,-57.31%,,,,,,
Sharpe Ratio,0.17,,,,,,
Sortino Ratio,0.23,,,,,,
US Stock Market Correlation,0.88,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Monthly Returns,,,,,,,
,,,,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,Vanguard FTSE Europe ETF (VGK),,,
2008,1,-8.98%,"$9,102",-8.98%,,,
2008,2,-0.29%,"$9,075",-0.29%,,,
2008,3,1.31%,"$9,194",1.31%,,,
2008,4,4.10%,"$9,571",4.10%,,,
2008,5,0.67%,"$9,635",0.67%,,,
2008,6,-8.99%,"$8,769",-8.99%,,,
2008,7,-2.88%,"$8,516",-2.88%,,,
2008,8,-3.84%,"$8,189",-3.84%,,,
2008,9,-12.89%,"$7,133",-12.89%,,,
2008,10,-21.83%,"$5,576",-21.83%,,,
2008,11,-7.38%,"$5,164",-7.38%,,,
2008,12,7.06%,"$5,529",7.06%,,,
2009,1,-13.84%,"$4,764",-13.84%,,,
2009,2,-10.38%,"$4,269",-10.38%,,,
2009,3,7.70%,"$4,598",7.70%,,,
2009,4,13.17%,"$5,203",13.17%,,,
2009,5,14.27%,"$5,945",14.27%,,,
2009,6,-2.35%,"$5,806",-2.35%,,,
2009,7,11.35%,"$6,464",11.35%,,,
2009,8,5.48%,"$6,819",5.48%,,,
2009,9,4.82%,"$7,147",4.82%,,,
2009,10,-2.58%,"$6,963",-2.58%,,,
2009,11,4.53%,"$7,279",4.53%,,,
2009,12,-0.24%,"$7,261",-0.24%,,,
2010,1,-6.27%,"$6,806",-6.27%,,,
2010,2,-0.55%,"$6,768",-0.55%,,,
2010,3,6.51%,"$7,209",6.51%,,,
2010,4,-3.80%,"$6,934",-3.80%,,,
2010,5,-11.75%,"$6,120",-11.75%,,,
2010,6,-1.64%,"$6,019",-1.64%,,,
2010,7,14.18%,"$6,873",14.18%,,,
2010,8,-4.58%,"$6,559",-4.58%,,,
2010,9,11.26%,"$7,297",11.26%,,,
2010,10,4.89%,"$7,653",4.89%,,,
2010,11,-7.81%,"$7,056",-7.81%,,,
2010,12,9.13%,"$7,700",9.13%,,,
