Start Date,01/01/2008,,,,,,,
End Date,07/31/2018,,,,,,,
Initial Balance,"$10,000",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Portfolio 1,,,,,,,,
,,,,,,,,
Ticker,Name,,,,,,,
VPL,Vanguard FTSE Pacific ETF,,,,,,,
,,,,,,,,
Portfolio Performance,,,,,,,,
,,,,,,,,
Metric,Portfolio 1,,,,,,,
Start Balance,"$10,000",,,,,,,
End Balance,"$13,916",,,,,,,
End Balance (inflation adjusted),"$11,600",,,,,,,
CAGR,3.17%,,,,,,,
CAGR (inflation adjusted),1.41%,,,,,,,
Stdev,17.05%,,,,,,,
Best Year,28.86%,,,,,,,
Worst Year,-34.02%,,,,,,,
Max. Drawdown,-48.60%,,,,,,,
Sharpe Ratio,0.25,,,,,,,
Sortino Ratio,0.35,,,,,,,
US Stock Market Correlation,0.84,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Monthly Returns,,,,,,,,
,,,,,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,Vanguard FTSE Pacific ETF (VPL),,,,
2008,1,-5.54%,"$9,446",-5.54%,,,,
2008,2,-1.75%,"$9,281",-1.75%,,,,
2008,3,-1.92%,"$9,103",-1.92%,,,,
2008,4,7.72%,"$9,805",7.72%,,,,
2008,5,2.23%,"$10,024",2.23%,,,,
2008,6,-8.01%,"$9,221",-8.01%,,,,
2008,7,-3.94%,"$8,858",-3.94%,,,,
2008,8,-5.12%,"$8,404",-5.12%,,,,
2008,9,-9.15%,"$7,635",-9.15%,,,,
2008,10,-18.56%,"$6,218",-18.56%,,,,
2008,11,-4.56%,"$5,935",-4.56%,,,,
2008,12,11.16%,"$6,598",11.16%,,,,
2009,1,-12.73%,"$5,757",-12.73%,,,,
2009,2,-10.51%,"$5,152",-10.51%,,,,
2009,3,9.91%,"$5,663",9.91%,,,,
2009,4,8.85%,"$6,164",8.85%,,,,
2009,5,11.97%,"$6,902",11.97%,,,,
2009,6,0.87%,"$6,962",0.87%,,,,
2009,7,7.37%,"$7,475",7.37%,,,,
2009,8,3.24%,"$7,718",3.24%,,,,
2009,9,1.95%,"$7,868",1.95%,,,,
2009,10,-3.21%,"$7,615",-3.21%,,,,
2009,11,2.08%,"$7,773",2.08%,,,,
2009,12,2.13%,"$7,939",2.13%,,,,
2010,1,-1.85%,"$7,792",-1.85%,,,,
2010,2,2.28%,"$7,970",2.28%,,,,
2010,3,5.94%,"$8,444",5.94%,,,,
2010,4,-1.10%,"$8,351",-1.10%,,,,
2010,5,-9.60%,"$7,549",-9.60%,,,,
2010,6,-2.54%,"$7,358",-2.54%,,,,
2010,7,7.55%,"$7,913",7.55%,,,,
