Start Date,01/01/2008,,,
End Date,07/31/2018,,,
Initial Balance,"$10,000",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ticker,Name,,,
VTI,Vanguard Total Stock Market ETF,,,
,,,,
,,,,
Metric,Portfolio 1,,,
Start Balance,"$10,000",,,
End Balance,"$24,645",,,
End Balance (inflation adjusted),"$20,542",,,
CAGR,8.90%,,,
CAGR (inflation adjusted),7.04%,,,
Stdev,15.32%,,,
Best Year,33.45%,,,
Worst Year,-36.98%,,,
Max. Drawdown,-48.15%,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Annual Returns,,,,
,,,,
Year,Inflation,Portfolio 1 Return,Portfolio 1 Balance,Vanguard Total Stock Market ETF (VTI)
2008,0.09%,-36.98%,"$6,302",-36.98%
2009,2.72%,28.89%,"$8,123",28.89%
2010,1.50%,17.42%,"$9,538",17.42%
2011,2.96%,0.97%,"$9,631",0.97%
2012,1.74%,16.45%,"$11,215",16.45%
2013,1.50%,33.45%,"$14,967",33.45%
2014,0.76%,12.54%,"$16,844",12.54%
2015,0.73%,0.36%,"$16,905",0.36%
2016,2.07%,12.83%,"$19,073",12.83%
2017,2.11%,21.21%,"$23,119",21.21%
2018,2.22%,6.60%,"$24,645",6.60%
,,,,
,,,,
Monthly Returns,,,,
,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,Vanguard Total Stock Market ETF (VTI)
2008,1,-6.17%,"$9,383",-6.17%
2008,2,-2.50%,"$9,149",-2.50%
2008,3,-0.90%,"$9,067",-0.90%
2008,4,4.89%,"$9,510",4.89%
2008,5,2.02%,"$9,702",2.02%
2008,6,-8.12%,"$8,914",-8.12%
2008,7,-0.62%,"$8,859",-0.62%
2008,8,1.46%,"$8,988",1.46%
2008,9,-9.24%,"$8,157",-9.24%
2008,10,-17.48%,"$6,732",-17.48%
2008,11,-8.01%,"$6,192",-8.01%
2008,12,1.78%,"$6,302",1.78%
2009,1,-8.05%,"$5,795",-8.05%
2009,2,-10.53%,"$5,185",-10.53%
2009,3,8.26%,"$5,614",8.26%
2009,4,10.99%,"$6,231",10.99%
2009,5,5.46%,"$6,571",5.46%
2009,6,0.36%,"$6,595",0.36%
2009,7,7.74%,"$7,105",7.74%
2009,8,3.71%,"$7,369",3.71%
2009,9,4.14%,"$7,674",4.14%
2009,10,-2.63%,"$7,472",-2.63%
2009,11,5.69%,"$7,897",5.69%
2009,12,2.86%,"$8,123",2.86%
2010,1,-3.57%,"$7,833",-3.57%
2010,2,3.44%,"$8,103",3.44%
2010,3,6.40%,"$8,621",6.40%
2010,4,2.18%,"$8,809",2.18%
2010,5,-7.88%,"$8,115",-7.88%
2010,6,-5.83%,"$7,641",-5.83%
2010,7,7.02%,"$8,178",7.02%
2010,8,-4.71%,"$7,793",-4.71%
2010,9,9.45%,"$8,529",9.45%
2010,10,4.03%,"$8,873",4.03%
2010,11,0.51%,"$8,918",0.51%
2010,12,6.96%,"$9,538",6.96%
2011,1,2.05%,"$9,734",2.05%
2011,2,3.70%,"$10,094",3.70%
2011,3,0.42%,"$10,136",0.42%
2011,4,2.90%,"$10,429",2.90%
2011,5,-1.06%,"$10,319",-1.06%
2011,6,-1.79%,"$10,133",-1.79%
