Start Date,01/01/2008,,,,,,
End Date,07/31/2018,,,,,,
Initial Balance,"$10,000",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Portfolio 1,,,,,,,
,,,,,,,
Ticker,Name,Allocation,,,,,
VWO,Vanguard FTSE Emerging Markets ETF,100.00%,,,,,
,,,,,,,
Portfolio Performance,,,,,,,
,,,,,,,
Metric,Portfolio 1,,,,,,
Start Balance,"$10,000",,,,,,
End Balance,"$11,022",,,,,,
End Balance (inflation adjusted),"$9,187",,,,,,
CAGR,0.92%,,,,,,
CAGR (inflation adjusted),-0.80%,,,,,,
Stdev,22.83%,,,,,,
Best Year,76.28%,,,,,,
Worst Year,-52.49%,,,,,,
Max. Drawdown,-57.75%,,,,,,
Sharpe Ratio,0.14,,,,,,
Sortino Ratio,0.2,,,,,,
US Stock Market Correlation,0.81,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Annual Returns,,,,,,,
,,,,,,,
Year,Inflation,Portfolio 1 Return,Portfolio 1 Balance,Vanguard FTSE Emerging Markets ETF (VWO),,,
2008,0.09%,-52.49%,"$4,751",-52.49%,,,
2009,2.72%,76.28%,"$8,376",76.28%,,,
2010,1.50%,19.47%,"$10,007",19.47%,,,
2011,2.96%,-18.76%,"$8,129",-18.76%,,,
2012,1.74%,19.20%,"$9,690",19.20%,,,
2013,1.50%,-4.92%,"$9,214",-4.92%,,,
2014,0.76%,-0.07%,"$9,208",-0.07%,,,
2015,0.73%,-15.81%,"$7,752",-15.81%,,,
2016,2.07%,12.21%,"$8,699",12.21%,,,
2017,2.11%,31.48%,"$11,437",31.48%,,,
2018,2.22%,-3.63%,"$11,022",-3.63%,,,
Annual returns for 2018 are based on partial year data,,,,,,,
,,,,,,,
Monthly Returns,,,,,,,
,,,,,,,
Year,Month,Portfolio 1 Return,Portfolio 1 Balance,Vanguard FTSE Emerging Markets ETF (VWO),,,
2008,1,-9.02%,"$9,098",-9.02%,,,
2008,2,2.88%,"$9,360",2.88%,,,
2008,3,-3.68%,"$9,015",-3.68%,,,
2008,4,8.43%,"$9,776",8.43%,,,
2008,5,1.79%,"$9,950",1.79%,,,
2008,6,-9.81%,"$8,974",-9.81%,,,
2008,7,-4.72%,"$8,550",-4.72%,,,
2008,8,-7.92%,"$7,873",-7.92%,,,
2008,9,-15.59%,"$6,646",-15.59%,,,
2008,10,-27.26%,"$4,834",-27.26%,,,
2008,11,-8.65%,"$4,416",-8.65%,,,
2008,12,7.59%,"$4,751",7.59%,,,
